,公司代號,公司名稱,年份,數量
479,1338,廣華-KY,100,25
480,1339,昭輝,109,35
481,1339,昭輝,108,34
482,1339,昭輝,107,33
483,1339,昭輝,106,34
484,1339,昭輝,105,21
485,1339,昭輝,104,64
486,1339,昭輝,103,27
487,1339,昭輝,102,16
488,1339,昭輝,101,23
489,1339,昭輝,100,28
490,1340,勝悅-KY,109,28
491,1340,勝悅-KY,108,20
492,1340,勝悅-KY,107,17
493,1340,勝悅-KY,106,21
494,1340,勝悅-KY,105,24
495,1340,勝悅-KY,104,16
496,1340,勝悅-KY,103,28
497,1340,勝悅-KY,102,2
498,1340,勝悅-KY,101,0
499,1340,勝悅-KY,100,0
500,1341,富林-KY,109,20
501,1341,富林-KY,108,16
502,1341,富林-KY,107,10
503,1341,富林-KY,106,0
504,1341,富林-KY,105,0
505,1341,富林-KY,104,0
506,1341,富林-KY,103,0
507,1341,富林-KY,102,0
508,1341,富林-KY,101,0
509,1341,富林-KY,100,0
510,1402,遠東新,109,24
511,1402,遠東新,108,36
512,1402,遠東新,107,52
513,1402,遠東新,106,27
514,1402,遠東新,105,25
515,1402,遠東新,104,34
516,1402,遠東新,103,35
517,1402,遠東新,102,42
518,1402,遠東新,101,64
519,1402,遠東新,100,63
520,1409,新纖,109,24
521,1409,新纖,108,17
522,1409,新纖,107,14
523,1409,新纖,106,25
524,1409,新纖,105,18
525,1409,新纖,104,29
526,1409,新纖,103,33
527,1409,新纖,102,24
528,1409,新纖,101,28
529,1409,新纖,100,36
530,1410,南染,109,9
531,1410,南染,108,17
532,1410,南染,107,16
533,1410,南染,106,11
534,1410,南染,105,9
535,1410,南染,104,18
536,1410,南染,103,15
537,1410,南染,102,10
538,1410,南染,101,20
539,1410,南染,100,13
540,1413,宏洲,109,3
541,1413,宏洲,108,12
542,1413,宏洲,107,10
543,1413,宏洲,106,19
544,1413,宏洲,105,24
545,1413,宏洲,104,114
546,1413,宏洲,103,22
547,1413,宏洲,102,19
548,1413,宏洲,101,7
549,1413,宏洲,100,9
550,1414,東和,109,5
551,1414,東和,108,12
552,1414,東和,107,7
553,1414,東和,106,15
554,1414,東和,105,14
555,1414,東和,104,11
556,1414,東和,103,11
557,1414,東和,102,14
558,1414,東和,101,8
559,1414,東和,100,23
560,1416,廣豐,109,20
561,1416,廣豐,108,7
562,1416,廣豐,107,18
563,1416,廣豐,106,20
564,1416,廣豐,105,23
565,1416,廣豐,104,26
566,1416,廣豐,103,20
567,1416,廣豐,102,18
568,1416,廣豐,101,11
569,1416,廣豐,100,13
570,1417,嘉裕,109,18
571,1417,嘉裕,108,22
572,1417,嘉裕,107,13
573,1417,嘉裕,106,8
574,1417,嘉裕,105,9
575,1417,嘉裕,104,8
576,1417,嘉裕,103,16
577,1417,嘉裕,102,7
578,1417,嘉裕,101,3
579,1417,嘉裕,100,9
580,1418,東華,109,15
581,1418,東華,108,32
582,1418,東華,107,23
583,1418,東華,106,43
584,1418,東華,105,27
585,1418,東華,104,16
586,1418,東華,103,8
587,1418,東華,102,10
588,1418,東華,101,3
589,1418,東華,100,9
590,1419,新紡,109,16
591,1419,新紡,108,13
592,1419,新紡,107,23
593,1419,新紡,106,38
594,1419,新紡,105,13
595,1419,新紡,104,14
596,1419,新紡,103,16
597,1419,新紡,102,9
598,1419,新紡,101,26
599,1419,新紡,100,13
600,1423,利華,109,7
601,1423,利華,108,7
602,1423,利華,107,16
603,1423,利華,106,7
604,1423,利華,105,7
605,1423,利華,104,9
606,1423,利華,103,7
607,1423,利華,102,5
608,1423,利華,101,7
609,1423,利華,100,6
610,1432,大魯閣,109,57
611,1432,大魯閣,108,66
612,1432,大魯閣,107,45
613,1432,大魯閣,106,72
614,1432,大魯閣,105,53
615,1432,大魯閣,104,53
616,1432,大魯閣,103,39
617,1432,大魯閣,102,44
618,1432,大魯閣,101,42
619,1432,大魯閣,100,34
620,1434,福懋,109,15
621,1434,福懋,108,16
622,1434,福懋,107,25
623,1434,福懋,106,19
624,1434,福懋,105,13
625,1434,福懋,104,12
626,1434,福懋,103,21
627,1434,福懋,102,9
628,1434,福懋,101,13
629,1434,福懋,100,12
630,1435,中福,109,5
631,1435,中福,108,5
632,1435,中福,107,17
633,1435,中福,106,21
634,1435,中福,105,15
635,1435,中福,104,15
636,1435,中福,103,8
